STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DAY
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-09,0,74,89,58,221
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-10,0,76,89,61,222
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-11,0,75,92,58,223
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-12,0,81,93,71,224
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-13,0,81,93,66,225
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-14,0.18,69,76,56,226
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-15,0,63,81,47,227
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-16,0,68,87,51,228
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-17,0,67,82,56,229
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-18,0,70,85,59,230
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-19,0.43,69,71,60,231
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-20,0,64,77,53,232
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-21,0,64,78,54,233
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-22,0,66,83,48,234
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-23,0.04,68,79,57,235
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-24,0.6,72,81,63,236
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-25,0,69,82,61,237
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-26,0.78,67,75,58,238
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-27,0.45,62,69,52,239
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-28,0.01,56,61,47,240
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-29,0,58,74,46,241
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-30,0,67,79,58,242
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-08-31,0,72,80,65,243
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-01,0.01,68,80,52,244
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-02,0.59,66,75,51,245
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-03,0,63,80,48,246
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-04,0.05,72,79,56,247
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-05,0,61,71,47,248
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-06,0,59,75,44,249
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-07,0,66,78,57,250
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-08,0,66,77,56,251
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-09,0.01,66,77,57,252
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-10,0,69,83,61,253
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-11,0,71,87,62,254
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-12,0,67,86,51,255
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-09-13,0,73,75,60,256
